Model,Method,Mode,Train,Test,Closed_Rank1,Closed_EER,Closed_Mean_Genuine,Closed_Mean_Impostor,Open_Rank1,Open_KL_Gate_EER,Open_Uncertainty_EER,Open_EER,Open_Mean_Genuine,Open_Mean_Stranger,Open_AUROC,Open_DIR_1,Open_DIR_01,Open_OSCR
unet_palmnet,Baseline,model0,tongji,iitd,35.5100 ± 1.8918,28.4033 ± 0.9595,7.0000 ± 1.6330,7.0000 ± 1.6330,35.6533 ± 1.4543,27.0367 ± 1.0394,49.8300 ± 3.7739,59.7300 ± 2.1795,7.0000 ± 1.6330,7.0000 ± 1.6330,36.5867 ± 4.1463,5.4400 ± 1.9696,3.7200 ± 1.3609,21.4133 ± 0.6330
unet_palmnet,Baseline,model0,tongji,tongji,88.9333 ± 0.2494,4.3567 ± 0.4847,19.6667 ± 2.0548,19.6667 ± 2.0548,87.8667 ± 0.6600,14.4400 ± 0.8306,52.1833 ± 0.6511,16.9167 ± 0.7771,19.6667 ± 2.0548,19.6667 ± 2.0548,88.5967 ± 0.4823,57.5333 ± 1.2684,41.2000 ± 5.3091,84.3167 ± 0.5833
unet_palmnet,Baseline,model3,iitd,iitd,70.7567 ± 3.5216,9.1567 ± 0.4845,48.0000 ± 1.6330,48.0000 ± 1.6330,69.3333 ± 4.0050,15.9900 ± 1.3757,44.3967 ± 2.6932,35.5200 ± 2.0260,48.0000 ± 1.6330,48.0000 ± 1.6330,68.7400 ± 2.3831,24.1033 ± 3.6384,13.1000 ± 3.6276,59.8267 ± 4.0000
unet_palmnet,Baseline,model3,iitd,tongji,43.3333 ± 3.8448,22.0500 ± 1.8749,21.0000 ± 26.8825,21.0000 ± 26.8825,43.3333 ± 3.8448,32.3200 ± 0.9382,53.4167 ± 1.7608,55.2667 ± 2.1910,21.0000 ± 26.8825,21.0000 ± 26.8825,42.1867 ± 3.2785,5.0667 ± 1.6997,1.8000 ± 1.6083,31.7333 ± 3.2000
unet_palmnet,Baseline,model3,tongji,iitd,35.5100 ± 1.8918,28.4033 ± 0.9595,13.0000 ± 1.6330,13.0000 ± 1.6330,35.6533 ± 1.4543,27.0367 ± 1.0394,49.8300 ± 3.7739,59.7300 ± 2.1795,13.0000 ± 1.6330,13.0000 ± 1.6330,36.5867 ± 4.1463,5.4400 ± 1.9696,3.7200 ± 1.3609,21.4133 ± 0.6330
unet_palmnet,Baseline,model3,tongji,tongji,88.9333 ± 0.2494,4.3567 ± 0.4847,26.3333 ± 2.0548,26.3333 ± 2.0548,87.8667 ± 0.6600,14.4400 ± 0.8306,52.1833 ± 0.6511,16.9167 ± 0.7771,26.3333 ± 2.0548,26.3333 ± 2.0548,88.5967 ± 0.4823,57.5333 ± 1.2684,41.2000 ± 5.3091,84.3167 ± 0.5833
unet_palmnet,Proposed,model0,iitd,iitd,79.2100 ± 4.3875,8.9133 ± 2.1616,48.0000 ± 1.6330,48.0000 ± 1.6330,76.5000 ± 4.4382,19.3767 ± 1.7834,51.7200 ± 2.4221,28.0200 ± 2.9029,48.0000 ± 1.6330,48.0000 ± 1.6330,76.4733 ± 2.9280,43.3333 ± 12.5128,34.9000 ± 11.0678,70.7933 ± 4.6778
unet_palmnet,Proposed,model0,iitd,tongji,31.2667 ± 5.5650,22.8000 ± 1.6850,38.0000 ± 1.6330,38.0000 ± 1.6330,31.2000 ± 5.5594,31.3000 ± 1.6043,48.3500 ± 0.2483,63.9167 ± 1.6484,38.0000 ± 1.6330,38.0000 ± 1.6330,31.5100 ± 3.4083,1.0667 ± 0.6600,0.2667 ± 0.2494,19.6267 ± 4.5647
unet_palmnet,Proposed,model0,tongji,iitd,13.9900 ± 1.3454,37.4700 ± 0.4908,56.0000 ± 1.6330,56.0000 ± 1.6330,15.5667 ± 2.3189,31.8600 ± 1.4196,53.5233 ± 2.2435,70.7400 ± 1.1218,56.0000 ± 1.6330,56.0000 ± 1.6330,23.0067 ± 1.2334,0.4267 ± 0.0047,0.4267 ± 0.0047,7.9467 ± 0.9371
unet_palmnet,Proposed,model0,tongji,tongji,73.9333 ± 1.9956,8.7800 ± 0.9168,4.6667 ± 2.0548,4.6667 ± 2.0548,74.8000 ± 2.1602,15.1467 ± 0.8520,46.7000 ± 2.8957,31.7167 ± 1.6332,4.6667 ± 2.0548,4.6667 ± 2.0548,73.7467 ± 1.4150,31.5333 ± 7.5725,19.4000 ± 10.7195,67.0433 ± 1.9135
unet_palmnet,Proposed,model3,iitd,iitd,53.6600 ± 3.8784,14.0000 ± 2.3509,48.0000 ± 1.6330,48.0000 ± 1.6330,54.2400 ± 4.2495,19.3767 ± 1.7834,51.7200 ± 2.4221,45.1500 ± 5.7169,48.0000 ± 1.6330,48.0000 ± 1.6330,54.5733 ± 7.0284,14.5833 ± 4.4944,8.2967 ± 2.5592,43.9700 ± 5.0818
unet_palmnet,Proposed,model3,iitd,tongji,33.8000 ± 7.1907,21.9800 ± 1.6812,39.0000 ± 1.6330,39.0000 ± 1.6330,33.8000 ± 7.1907,31.3000 ± 1.6043,48.3500 ± 0.2483,62.6000 ± 3.3596,39.0000 ± 1.6330,39.0000 ± 1.6330,33.3767 ± 4.2729,1.4667 ± 0.9568,0.4000 ± 0.4320,22.8667 ± 5.0364
unet_palmnet,Proposed,model3,tongji,iitd,26.7900 ± 3.0918,28.2033 ± 0.9422,56.0000 ± 1.6330,56.0000 ± 1.6330,26.9367 ± 2.7508,31.8600 ± 1.4196,53.5233 ± 2.2435,64.4833 ± 1.5539,56.0000 ± 1.6330,56.0000 ± 1.6330,31.3200 ± 0.8144,3.0033 ± 1.2875,1.5667 ± 0.5419,16.4400 ± 2.8049
unet_palmnet,Proposed,model3,tongji,tongji,73.0667 ± 1.1813,7.4933 ± 0.6635,4.0000 ± 1.6330,4.0000 ± 1.6330,72.4667 ± 1.4636,15.1467 ± 0.8520,46.7000 ± 2.8957,33.7667 ± 1.7461,4.0000 ± 1.6330,4.0000 ± 1.6330,70.6000 ± 2.1437,25.9333 ± 5.0500,14.0000 ± 1.0198,63.2133 ± 0.7736
unet_resnet,Baseline,mode0,iitd,iitd,98.8900 ± 0.3960,1.7467 ± 0.7553,4.3333 ± 2.3570,4.3333 ± 2.3570,92.7933 ± 1.9753,14.6800 ± 3.7937,46.2633 ± 5.3174,7.4333 ± 1.9439,4.3333 ± 2.3570,4.3333 ± 2.3570,95.0033 ± 1.3742,86.1633 ± 4.7704,85.0500 ± 4.1972,92.1800 ± 1.8560
unet_resnet,Baseline,mode0,iitd,tongji,50.4000 ± 4.8689,26.8433 ± 1.7322,21.6667 ± 2.4944,21.6667 ± 2.4944,48.0667 ± 5.9785,32.3900 ± 2.8440,53.9000 ± 3.4881,53.6833 ± 2.3680,21.6667 ± 2.4944,21.6667 ± 2.4944,45.1167 ± 3.8467,5.8667 ± 1.7988,2.6667 ± 0.6600,30.2767 ± 4.1157
